,gender,int_or_dom,grad_year,fin_aid,c1_field,testing,legacy,ever_checked_out,calls_vga,last_had_sex,us_mil_action,asian,amind_alask,black,nathaw_pacisl,nw_hisp,white,pna_race,grad_year_lumped,wants_masks_in_class,wants_masks_in_student_space,wants_mand_testing,wants_none_of_above,unsure_covid_restrictions,pna_covid_restrictions,used_alcohol,used_cocaine,used_inhalants,used_lsd,used_marijuana,used_mdma,used_nicotine,used_shrooms,used_none_of_above,used_unsure,pna_drugs
0,Female,Domestic,2024.0,Grants covering some costs,LS,No,No,Yes,Greg,Less than one week ago,Unsure,0,0,0,0,0,1,0,2024.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Non-binary,Domestic,2024.0,None,PS,No,No,No,Greg,Less than six months ago,Unsure,0,0,0,0,0,1,0,2024.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,Male,Domestic,2025.0,Grants covering some costs,PS,No,No,No,Greg,I’ve never had sex,Favor,1,0,0,0,0,0,0,2025.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Female,International,2024.0,None,SS,No,No,No,Greg,Less than one month ago,Unsure,0,0,1,0,0,0,0,2024.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4,Male,Domestic,2023.0,None,PS,No,Unsure,Yes,New Dorm,More than six months ago,Unsure,0,0,1,0,0,0,0,2023.0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5,Female,Domestic,2024.0,None,SS,Unsure,No,No,Greg,I’ve never had sex,Unsure,0,0,0,0,0,1,0,2024.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Female,Domestic,2024.5,None,LS,No,No,No,New Dorm,More than six months ago,Oppose,0,0,0,0,0,1,0,2024.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Male,Domestic,2025.0,None,SS,Yes,No,No,New Dorm,I’ve never had sex,Unsure,0,0,0,0,0,1,0,2025.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Male,Domestic,2025.0,None,U,Yes,No,No,Greg,Less than one week ago,Oppose,0,0,0,0,0,1,0,2025.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
9,Male,Domestic,2023.5,None,PS,Yes,No,No,New Dorm,I’ve never had sex,Favor,0,0,0,0,0,1,0,2023.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Female,International,2022.0,None,SS,No,Yes,No,New Dorm,Less than one week ago,Favor,0,0,0,0,0,1,0,2022.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
11,Female,International,2023.0,Grants covering some costs,PS,Unsure,No,Yes,New Dorm,Less than one week ago,Oppose,1,0,0,0,0,0,0,2023.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Male,Domestic,2023.0,None,LS,Yes,Yes,No,New Dorm,More than six months ago,Oppose,1,0,0,0,1,0,0,2023.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
13,Male,Domestic,2023.0,None,LS,Yes,No,No,New Dorm,Less than one week ago,Unsure,1,0,0,0,0,1,0,2023.0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
